app,piece_style,previous_glyph,kind,sequence,classification_status,source_image,style_image,source_label,style_label,label_status
ぴよ将棋,一文字駒,一文字,初期配置,01,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_初期配置_01.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\一文字駒\ぴよ将棋_一文字駒_初期配置_01.png,,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\一文字駒\ぴよ将棋_一文字駒_初期配置_01.json,暗黙の初期配置
ぴよ将棋,ひよこ駒,一文字,初期配置,01,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_初期配置_02.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_初期配置_01.png,,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_初期配置_01.json,暗黙の初期配置
ぴよ将棋,昇竜一文字,一文字,初期配置,01,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_初期配置_03.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\昇竜一文字\ぴよ将棋_昇竜一文字_初期配置_01.png,,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\昇竜一文字\ぴよ将棋_昇竜一文字_初期配置_01.json,暗黙の初期配置
ぴよ将棋,風波一文字,一文字,初期配置,01,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_初期配置_04.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\風波一文字\ぴよ将棋_風波一文字_初期配置_01.png,,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\風波一文字\ぴよ将棋_風波一文字_初期配置_01.json,暗黙の初期配置
ぴよ将棋,ひよこ駒,一文字,通常,01,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_01.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_01.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_01.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_01.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,02,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_02.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_02.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_02.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_02.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,03,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_03.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_03.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_03.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_03.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,04,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_04.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_04.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_04.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_04.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,05,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_05.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_05.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_05.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_05.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,06,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_06.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_06.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_06.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_06.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,07,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_07.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_07.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_07.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_07.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,08,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_08.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_08.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_08.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_08.json,教師ラベルあり
